Tissue(Primary site),Disease
Adrenal gland,Neuroepitheliomatous Neoplasms
Adrenal gland,Adenomas and Adenocarcinomas
Adrenal gland,Paragangliomas and Glomus Tumors
Bile duct,Adenomas and Adenocarcinomas
Bile duct,"Epithelial Neoplasms, NOS"
Bile duct,Ductal and Lobular Neoplasms
Bladder,Transitional Cell Papillomas and Carcinomas
Bladder,Adenomas and Adenocarcinomas
Bladder,"Epithelial Neoplasms, NOS"
Bladder,Squamous Cell Neoplasms
Bladder,"Cystic, Mucinous and Serous Neoplasms"
Bone,Osseous and Chondromatous Neoplasms
Bone,Miscellaneous Bone Tumors
Bone,Miscellaneous Tumors
Bone,Neuroepitheliomatous Neoplasms
Bone,Odontogenic Tumors
Bone,Myomatous Neoplasms
Bone,Giant Cell Tumors
Bone,Mature B-cell Lymphomas
Bone,"Neoplasms, nos"
Bone,Squamous Cell Neoplasms
Bone Marrow,Myeloid Leukemias
Bone Marrow,Lymphoid Leukemias
Bone Marrow,Plasma Cell Tumors
Bone Marrow,Chronic Myeloproliferative Disorders
Bone Marrow,Mature B-cell Lymphomas
Bone Marrow,Myelodysplastic Syndromes
Bone Marrow,"Leukemias, Nos"
Bone Marrow,Mature T- and Nk-cell Lymphomas
Bone Marrow,Other Leukemias
Bone Marrow,Neoplasms of histiocytes and accessory lymphoid cells
Bone Marrow,Hodgkin Lymphoma
Bone Marrow,"Neoplasms, nos"
Bone Marrow,"Malignant Lymphomas, nos or Diffuse"
Bone Marrow,Precursor Cell Lymphoblastic Lymphoma
Bone Marrow,Mast Cell Tumors
Bone Marrow,Neuroepitheliomatous Neoplasms
Bone Marrow,Immunoproliferative diseases
Brain,Gliomas
Brain,Germ Cell Neoplasms
Brain,"Neoplasms, nos"
Brain,"Malignant Lymphomas, nos or Diffuse"
Brain,Mature B-cell Lymphomas
Brain,Neuroepitheliomatous Neoplasms
Breast,Ductal and Lobular Neoplasms
Breast,"Epithelial Neoplasms, NOS"
Breast,"Neoplasms, nos"
Breast,Complex Epithelial Neoplasms
Breast,Adenomas and Adenocarcinomas
Breast,Fibroepithelial Neoplasms
Breast,Blood Vessel Tumors
Breast,"Soft Tissue Tumors and Sarcomas, nos"
Breast,Squamous Cell Neoplasms
Breast,Complex Mixed and Stromal Neoplasms
Breast,Adnexal and Skin Appendage Neoplasms
Breast,Basal Cell Neoplasms
Breast,Mature B-cell Lymphomas
Cervix,Squamous Cell Neoplasms
Cervix,Adenomas and Adenocarcinomas
Cervix,"Cystic, Mucinous and Serous Neoplasms"
Cervix,Complex Epithelial Neoplasms
Cervix,"Neoplasms, nos"
Cervix,"Epithelial Neoplasms, NOS"
Cervix,Mesonephromas
Colorectal,Adenomas and Adenocarcinomas
Colorectal,"Cystic, Mucinous and Serous Neoplasms"
Colorectal,Squamous Cell Neoplasms
Colorectal,Ductal and Lobular Neoplasms
Colorectal,Complex Epithelial Neoplasms
Colorectal,Mature B-cell Lymphomas
Colorectal,"Epithelial Neoplasms, NOS"
Colorectal,Lipomatous Neoplasms
Esophagus,Adenomas and Adenocarcinomas
Esophagus,Squamous Cell Neoplasms
Esophagus,"Epithelial Neoplasms, NOS"
Esophagus,Nevi and Melanomas
Esophagus,"Cystic, Mucinous and Serous Neoplasms"
Eye,Nevi and Melanomas
Eye,Neuroepitheliomatous Neoplasms
Head and Neck,Adenomas and Adenocarcinomas
Head and Neck,Ductal and Lobular Neoplasms
Head and Neck,Squamous Cell Neoplasms
Head and Neck,Gliomas
Head and Neck,"Cystic, Mucinous and Serous Neoplasms"
Head and Neck,Plasma Cell Tumors
Head and Neck,Nevi and Melanomas
Head and Neck,Transitional Cell Papillomas and Carcinomas
Head and Neck,Myeloid Leukemias
Head and Neck,Paragangliomas and Glomus Tumors
Head and Neck,Germ Cell Neoplasms
Head and Neck,Neuroepitheliomatous Neoplasms
Head and Neck,Myomatous Neoplasms
Head and Neck,Thymic Epithelial Neoplasms
Head and Neck,Complex Mixed and Stromal Neoplasms
Head and Neck,Mesothelial Neoplasms
Head and Neck,"Soft Tissue Tumors and Sarcomas, nos"
Head and Neck,Lipomatous Neoplasms
Head and Neck,Mature B-cell Lymphomas
Head and Neck,Fibromatous Neoplasms
Head and Neck,"Leukemias, Nos"
Head and Neck,Acinar Cell Neoplasms
Head and Neck,Complex Epithelial Neoplasms
Head and Neck,"Epithelial Neoplasms, NOS"
Head and Neck,Synovial-like Neoplasms
Head and Neck,Lymphoid Leukemias
Head and Neck,Nerve Sheath Tumors
Head and Neck,Fibroepithelial Neoplasms
Head and Neck,Adnexal and Skin Appendage Neoplasms
Head and Neck,Basal Cell Neoplasms
Kidney,Adenomas and Adenocarcinomas
Kidney,Complex Mixed and Stromal Neoplasms
Kidney,Transitional Cell Papillomas and Carcinomas
Kidney,"Epithelial Neoplasms, NOS"
Kidney,Ductal and Lobular Neoplasms
Kidney,Neuroepitheliomatous Neoplasms
Kidney,Lipomatous Neoplasms
Kidney,Squamous Cell Neoplasms
Kidney,"Neoplasms, nos"
Kidney,"Soft Tissue Tumors and Sarcomas, nos"
Kidney,Synovial-like Neoplasms
Liver,Adenomas and Adenocarcinomas
Liver,Complex Mixed and Stromal Neoplasms
Liver,Neuroepitheliomatous Neoplasms
Liver,Blood Vessel Tumors
Lung,Adenomas and Adenocarcinomas
Lung,"Epithelial Neoplasms, NOS"
Lung,Squamous Cell Neoplasms
Lung,Complex Epithelial Neoplasms
Lung,Acinar Cell Neoplasms
Lung,"Cystic, Mucinous and Serous Neoplasms"
Lung,Complex Mixed and Stromal Neoplasms
Lung,"Neoplasms, nos"
Lung,"Soft Tissue Tumors and Sarcomas, nos"
Lung,Mucoepidermoid Neoplasms
Lung,Fibromatous Neoplasms
Lung,Lymphatic vessel tumors
Lung,Myomatous Neoplasms
Lymph Nodes,Mature B-cell Lymphomas
Lymph Nodes,Neuroepitheliomatous Neoplasms
Nervous System,Gliomas
Nervous System,Meningiomas
Nervous System,Neuroepitheliomatous Neoplasms
Nervous System,Nerve Sheath Tumors
Nervous System,Blood Vessel Tumors
Nervous System,"Epithelial Neoplasms, NOS"
Nervous System,Germ Cell Neoplasms
Nervous System,Miscellaneous Tumors
Nervous System,"Neoplasms, nos"
Nervous System,Granular Cell Tumors and Alveolar Soft Part Sarcomas
Nervous System,Fibromatous Neoplasms
Nervous System,Nevi and Melanomas
Nervous System,Trophoblastic Neoplasms
Nervous System,Paragangliomas and Glomus Tumors
Ovary,"Cystic, Mucinous and Serous Neoplasms"
Ovary,"Epithelial Neoplasms, NOS"
Ovary,Adenomas and Adenocarcinomas
Ovary,Specialized Gonadal Neoplasms
Ovary,Complex Mixed and Stromal Neoplasms
Ovary,Germ Cell Neoplasms
Ovary,Fibroepithelial Neoplasms
Ovary,"Neoplasms, nos"
Ovary,Myomatous Neoplasms
Pancreas,Adenomas and Adenocarcinomas
Pancreas,Ductal and Lobular Neoplasms
Pancreas,"Epithelial Neoplasms, NOS"
Pancreas,"Cystic, Mucinous and Serous Neoplasms"
Pancreas,Acinar Cell Neoplasms
Pancreas,Complex Epithelial Neoplasms
Pancreas,Complex Mixed and Stromal Neoplasms
Pancreas,"Neoplasms, nos"
Pleura,Mesothelial Neoplasms
Pleura,Neuroepitheliomatous Neoplasms
Pleura,Thymic Epithelial Neoplasms
Pleura,Germ Cell Neoplasms
Pleura,Paragangliomas and Glomus Tumors
Pleura,Mature B-cell Lymphomas
Pleura,"Soft Tissue Tumors and Sarcomas, nos"
Prostate,Adenomas and Adenocarcinomas
Prostate,Acinar Cell Neoplasms
Prostate,Ductal and Lobular Neoplasms
Prostate,"Neoplasms, nos"
Prostate,"Epithelial Neoplasms, NOS"
Prostate,"Cystic, Mucinous and Serous Neoplasms"
Prostate,Squamous Cell Neoplasms
Skin,Nevi and Melanomas
Skin,Adenomas and Adenocarcinomas
Skin,Squamous Cell Neoplasms
Skin,Adnexal and Skin Appendage Neoplasms
Skin,Basal Cell Neoplasms
Skin,Ductal and Lobular Neoplasms
Skin,Fibromatous Neoplasms
Skin,"Soft Tissue Tumors and Sarcomas, nos"
Skin,"Neoplasms, nos"
Skin,Neuroepitheliomatous Neoplasms
Soft Tissue,Myomatous Neoplasms
Soft Tissue,Fibromatous Neoplasms
Soft Tissue,Lipomatous Neoplasms
Soft Tissue,"Soft Tissue Tumors and Sarcomas, nos"
Soft Tissue,Blood Vessel Tumors
Soft Tissue,Synovial-like Neoplasms
Soft Tissue,Paragangliomas and Glomus Tumors
Soft Tissue,Complex Mixed and Stromal Neoplasms
Soft Tissue,Myxomatous Neoplasms
Soft Tissue,Granular Cell Tumors and Alveolar Soft Part Sarcomas
Soft Tissue,Neoplasms of histiocytes and accessory lymphoid cells
Soft Tissue,Neuroepitheliomatous Neoplasms
Soft Tissue,Nerve Sheath Tumors
Soft Tissue,Adenomas and Adenocarcinomas
Soft Tissue,Giant Cell Tumors
Soft Tissue,Mature B-cell Lymphomas
Soft Tissue,"Neoplasms, nos"
Stomach,Adenomas and Adenocarcinomas
Stomach,"Neoplasms, nos"
Stomach,"Cystic, Mucinous and Serous Neoplasms"
Stomach,"Epithelial Neoplasms, NOS"
Stomach,Mature B-cell Lymphomas
Stomach,Myomatous Neoplasms
Stomach,Complex Epithelial Neoplasms
Stomach,Lipomatous Neoplasms
Stomach,Neuroepitheliomatous Neoplasms
Stomach,Squamous Cell Neoplasms
Testis,Germ Cell Neoplasms
Testis,Trophoblastic Neoplasms
Testis,Specialized Gonadal Neoplasms
Testis,Mesothelial Neoplasms
Testis,"Neoplasms, nos"
Testis,"Malignant Lymphomas, nos or Diffuse"
Testis,Mature B-cell Lymphomas
Thymus,Thymic Epithelial Neoplasms
Thymus,"Epithelial Neoplasms, NOS"
Thymus,Adenomas and Adenocarcinomas
Thyroid,Adenomas and Adenocarcinomas
Thyroid,"Epithelial Neoplasms, NOS"
Thyroid,Ductal and Lobular Neoplasms
Thyroid,Squamous Cell Neoplasms
Thyroid,"Neoplasms, nos"
Thyroid,Mature B-cell Lymphomas
Uterus,Adenomas and Adenocarcinomas
Uterus,"Cystic, Mucinous and Serous Neoplasms"
Uterus,Complex Mixed and Stromal Neoplasms
Uterus,"Epithelial Neoplasms, NOS"
Uterus,Myomatous Neoplasms
Uterus,"Soft Tissue Tumors and Sarcomas, nos"
Uterus,Trophoblastic Neoplasms
Uterus,"Neoplasms, nos"
Uterus,Complex Epithelial Neoplasms
Uterus,Mesonephromas
Uterus,Neuroepitheliomatous Neoplasms
